Year,Total Congregations,Worldwide Memorial Attendance,Memorial Partakers Worldwide,Peak of Publishers,Average Publishers Preaching Each Month,Total Number Baptized,Total Hours Spent in Field,Average Bible Studies Each Month
1991,66207,10650158,8850,4278820,4071954,300945,951870021,3947261
1992,69558,11431171,8683,4472787,4289737,301002,1024910434,4278127
1993,73070,11865765,8693,4709889,4483900,296004,1057341972,4515587
1994,75573,12288917,8617,4914094,4695111,314818,1096065354,4701357
1995,78620,13147201,8645,5199895,4950344,338491,1150353444,4865060
1996,81908,12921933,8757,5413769,5167258,366579,1140621714,4855030
1997,85256,14322226,8795,5599931,5353078,375923,1179735841,4552589
1998,87644,13896312,8756,5888650,5544059,316092,1186666708,4302852
1999,89985,14088751,8755,5912492,5653987,323439,1144566849,4433884
2000,91487,14872086,8661,6035564,5783003,288907,1171270425,4766631
2001,93154,15374986,8730,6117666,5881776,263431,1169082225,4921702
2002,94600,15597746,8760,6304645,6048600,265469,1202381302,5309289
2003,95919,16097622,8565,6429351,6184046,258845,1234796477,5726509
2004,96894,16760607,8570,6513132,6308341,262416,1282234887,6085387
2005,98269,16383333,8524,6613829,6390016,247631,1278201985,6061546
2006,99770,16675113,8758,6741444,6491775,248327,1333966199,6286618
2007,101376,17672443,9105,6957854,6691790,298304,1431761554,6561426
2008,103267,17790631,9986,7124443,6829455,289678,1488658249,7133760
2009,105298,18168323,10857,7313173,7046419,276233,1557788344,7619270
2010,107210,18706895,11202,7508050,7224930,294368,1604764248,8058359
2011,109403,19374737,11824,7659019,7395672,263131,1707094710,8490746
2012,111719,19013343,12604,7782346,7538994,268777,1748697447,8759988
2013,113823,19241252,13204,7965954,7698377,277344,1841180235,9254963
2014,115416,19950019,14121,8201545,7867958,275581,1945487604,9499933
2015,118016,19862783,15177,8220105,7987279,260273,1933473727,9708968
2016,119485,20085142,18013,8340847,8132358,264535,1983763754,10115264
2017,120053,20175477,18564,8457107,8248982,284212,2046000202,10071524
2018,119954,20329317,19521,8579909,8360594,281744,2074655497,10079709
2019,119712,20919041,20526,8683117,8471008,303866,2088560437,9618182
